playlist_genre,playlist_subgenre,instrumentalness,tmp_data,duration_ms,duration_sec,duration_min
pop,dance pop,0.33,0.33,194840,194.84,3.247333333
pop,dance pop,0.0271,0.0271,177466,177.466,2.957766667
pop,dance pop,0.746,0.746,218373,218.373,3.63955
pop,dance pop,0,0,144073,144.073,2.401216667
pop,dance pop,1.99E-05,0.0000199,193861,193.861,3.231016667
pop,dance pop,0,0,200625,200.625,3.34375
pop,dance pop,0.0083,0.0083,166237,166.237,2.770616667
pop,dance pop,1.59E-05,0.0000159,171500,171.5,2.858333333
pop,dance pop,0.0109,0.0109,266719,266.719,4.445316667
pop,dance pop,3.76E-06,0.00000376,204027,204.027,3.40045
pop,dance pop,3.47E-04,0.000347,203968,203.968,3.399466667
pop,dance pop,2.19E-04,0.000219,190417,190.417,3.173616667
pop,dance pop,0,0,237686,237.686,3.961433333
pop,dance pop,8.45E-05,0.0000845,180361,180.361,3.006016667
pop,dance pop,3.12E-05,0.0000312,139048,139.048,2.317466667
pop,dance pop,0.0109,0.0109,279800,279.8,4.663333333
pop,dance pop,0,0,217043,217.043,3.617383333
pop,dance pop,0.121,0.121,230476,230.476,3.841266667
pop,dance pop,0.002,0.002,188640,188.64,3.144
pop,dance pop,5.89E-06,0.00000589,196613,196.613,3.276883333
pop,dance pop,0.00615,0.00615,210000,210,3.5
pop,dance pop,1.85E-05,0.0000185,187869,187.869,3.13115
pop,dance pop,0.0117,0.0117,273229,273.229,4.553816667
pop,dance pop,0.0223,0.0223,255861,255.861,4.26435
pop,dance pop,0.025,0.025,216714,216.714,3.6119
pop,dance pop,0,0,192653,192.653,3.210883333
pop,dance pop,6.18E-05,0.0000618,238451,238.451,3.974183333
pop,dance pop,0,0,217653,217.653,3.62755
pop,dance pop,0,0,174444,174.444,2.9074
pop,dance pop,0,0,156347,156.347,2.605783333
pop,dance pop,0,0,165767,165.767,2.762783333
pop,dance pop,0,0,201072,201.072,3.3512
pop,dance pop,0,0,223523,223.523,3.725383333
pop,dance pop,0,0,238459,238.459,3.974316667
pop,dance pop,0,0,191612,191.612,3.193533333
pop,dance pop,4.58E-05,0.0000458,173455,173.455,2.890916667
pop,dance pop,0,0,209893,209.893,3.498216667
pop,dance pop,0,0,228112,228.112,3.801866667
pop,dance pop,6.16E-06,0.00000616,220396,220.396,3.673266667
pop,dance pop,0,0,180840,180.84,3.014
pop,dance pop,1.33E-06,0.00000133,214634,214.634,3.577233333
pop,dance pop,2.07E-06,0.00000207,210944,210.944,3.515733333
pop,dance pop,0,0,190932,190.932,3.1822
pop,dance pop,0,0,197939,197.939,3.298983333
pop,dance pop,6.92E-05,0.0000692,192941,192.941,3.215683333
pop,dance pop,1.16E-04,0.000116,215316,215.316,3.5886
pop,dance pop,0,0,193377,193.377,3.22295
pop,dance pop,0,0,201253,201.253,3.354216667
pop,dance pop,0,0,220730,220.73,3.678833333
pop,dance pop,1.29E-06,0.00000129,185062,185.062,3.084366667
pop,dance pop,0,0,157202,157.202,2.620033333
pop,dance pop,0,0,159753,159.753,2.66255
pop,dance pop,0,0,184732,184.732,3.078866667
pop,dance pop,0,0,160998,160.998,2.6833
pop,dance pop,0,0,226093,226.093,3.768216667
pop,dance pop,0,0,205787,205.787,3.429783333
pop,dance pop,0,0,216668,216.668,3.611133333
pop,dance pop,3.01E-06,0.00000301,178480,178.48,2.974666667
pop,dance pop,0.163,0.163,182668,182.668,3.044466667
pop,dance pop,0,0,224061,224.061,3.73435
pop,dance pop,0,0,178501,178.501,2.975016667
pop,dance pop,0,0,154024,154.024,2.567066667
pop,dance pop,6.25E-06,0.00000625,197880,197.88,3.298
pop,dance pop,9.65E-05,0.0000965,170079,170.079,2.83465
pop,dance pop,0.132,0.132,193613,193.613,3.226883333
pop,dance pop,0,0,207095,207.095,3.451583333
pop,dance pop,0,0,248156,248.156,4.135933333
pop,dance pop,0,0,202072,202.072,3.367866667
pop,dance pop,0,0,186805,186.805,3.113416667
pop,dance pop,0,0,208567,208.567,3.476116667
pop,dance pop,0,0,184533,184.533,3.07555
pop,dance pop,0,0,198996,198.996,3.3166
pop,dance pop,3.33E-06,0.00000333,238173,238.173,3.96955
pop,dance pop,0.00108,0.00108,215446,215.446,3.590766667
pop,dance pop,0.0892,0.0892,189165,189.165,3.15275
pop,dance pop,0,0,200318,200.318,3.338633333
pop,dance pop,2.64E-06,0.00000264,160312,160.312,2.671866667
pop,dance pop,3.86E-04,0.000386,219521,219.521,3.658683333
pop,dance pop,1.39E-05,0.0000139,207428,207.428,3.457133333
pop,dance pop,0,0,179531,179.531,2.992183333
pop,dance pop,5.33E-06,0.00000533,166000,166,2.766666667
pop,dance pop,3.63E-04,0.000363,203200,203.2,3.386666667
pop,dance pop,4.07E-06,0.00000407,239067,239.067,3.98445
pop,dance pop,1.80E-05,0.000018,147554,147.554,2.459233333
pop,dance pop,8.02E-04,0.000802,188640,188.64,3.144
pop,dance pop,0.00642,0.00642,157159,157.159,2.619316667
pop,dance pop,6.34E-06,0.00000634,228502,228.502,3.808366667
pop,dance pop,0,0,210091,210.091,3.501516667
pop,dance pop,0.00241,0.00241,187150,187.15,3.119166667
pop,dance pop,4.82E-06,0.00000482,212500,212.5,3.541666667
pop,dance pop,0,0,244960,244.96,4.082666667
pop,dance pop,0.056,0.056,243091,243.091,4.051516667
pop,dance pop,0,0,271427,271.427,4.523783333
pop,dance pop,6.66E-05,0.0000666,222653,222.653,3.710883333
pop,dance pop,0,0,220883,220.883,3.681383333
pop,dance pop,0,0,189467,189.467,3.157783333
pop,dance pop,8.40E-04,0.00084,221714,221.714,3.695233333
pop,dance pop,4.91E-06,4.91E-06,213309,213.309,3.55515
pop,dance pop,5.83E-04,0.000583,208474,208.474,3.474566667
pop,dance pop,2.49E-06,0.00000249,239853,239.853,3.99755
pop,dance pop,0,0,194907,194.907,3.24845
pop,dance pop,1.44E-05,0.0000144,247160,247.16,4.119333333
pop,dance pop,2.19E-05,0.0000219,214847,214.847,3.580783333
pop,dance pop,0,0,210013,210.013,3.500216667
pop,dance pop,0,0,220781,220.781,3.679683333
pop,dance pop,0,0,251627,251.627,4.193783333
pop,dance pop,2.63E-05,0.0000263,205947,205.947,3.43245
pop,dance pop,0.00377,0.00377,226739,226.739,3.778983333
pop,dance pop,0,0,217347,217.347,3.62245
pop,dance pop,9.45E-05,0.0000945,255632,255.632,4.260533333
pop,dance pop,8.45E-06,0.00000845,195000,195,3.25
pop,dance pop,0,0,200787,200.787,3.34645
pop,dance pop,0.124,0.124,222160,222.16,3.702666667
pop,dance pop,0.0012,0.0012,247427,247.427,4.123783333
pop,dance pop,1.10E-05,0.000011,184560,184.56,3.076
pop,dance pop,0.15,0.15,245040,245.04,4.084
pop,dance pop,6.59E-06,0.00000659,242520,242.52,4.042
pop,dance pop,0,0,227893,227.893,3.798216667
pop,dance pop,0,0,209733,209.733,3.49555
pop,dance pop,0,0,213169,213.169,3.552816667
pop,dance pop,0,0,237547,237.547,3.959116667
pop,dance pop,0,0,286322,286.322,4.772033333
pop,dance pop,1.33E-06,0.00000133,237200,237.2,3.953333333
pop,dance pop,0.00171,0.00171,212640,212.64,3.544
pop,dance pop,0,0,208222,208.222,3.470366667
pop,dance pop,0,0,206440,206.44,3.440666667
pop,dance pop,0.676,0.676,231480,231.48,3.858
pop,dance pop,0,0,164490,164.49,2.7415
pop,dance pop,0.341,0.341,168547,168.547,2.809116667
pop,dance pop,0.0249,0.0249,155238,155.238,2.5873
pop,dance pop,0,0,184558,184.558,3.075966667
pop,dance pop,1.00E-06,0.000001,198743,198.743,3.312383333
pop,dance pop,1.66E-04,0.000166,159194,159.194,2.653233333
pop,dance pop,0.0538,0.0538,165714,165.714,2.7619
pop,dance pop,6.13E-06,0.00000613,183653,183.653,3.060883333
pop,dance pop,0.106,0.106,202500,202.5,3.375
pop,dance pop,0,0,168387,168.387,2.80645
pop,dance pop,0.00411,0.00411,184582,184.582,3.076366667
pop,dance pop,7.82E-06,0.00000782,240000,240,4
pop,dance pop,3.92E-04,0.000392,198839,198.839,3.313983333
pop,dance pop,7.07E-04,0.000707,257943,257.943,4.29905
pop,dance pop,7.08E-06,0.00000708,190302,190.302,3.1717
pop,dance pop,4.74E-05,0.0000474,154654,154.654,2.577566667
pop,dance pop,2.66E-04,0.000266,179016,179.016,2.9836
pop,dance pop,9.29E-06,0.00000929,167859,167.859,2.79765
pop,dance pop,0,0,154286,154.286,2.571433333
pop,dance pop,0.00129,0.00129,183183,183.183,3.05305
pop,dance pop,0,0,216256,216.256,3.604266667
pop,dance pop,9.71E-05,0.0000971,158091,158.091,2.63485
pop,dance pop,9.21E-05,0.0000921,203227,203.227,3.387116667
pop,dance pop,0,0,179531,179.531,2.992183333
pop,dance pop,0,0,185943,185.943,3.09905
pop,dance pop,1.37E-06,0.00000137,208367,208.367,3.472783333
pop,dance pop,0,0,204591,204.591,3.40985
pop,dance pop,0,0,169964,169.964,2.832733333
pop,dance pop,0.00107,0.00107,172520,172.52,2.875333333
pop,dance pop,0,0,236765,236.765,3.946083333
pop,dance pop,3.00E-05,0.00003,153231,153.231,2.55385
pop,dance pop,0,0,167249,167.249,2.787483333
pop,dance pop,0.523,0.523,291785,291.785,4.863083333
pop,dance pop,0,0,182000,182,3.033333333
pop,dance pop,0,0,242385,242.385,4.03975
pop,dance pop,0,0,177638,177.638,2.960633333
pop,dance pop,1.38E-04,0.000138,160184,160.184,2.669733333
pop,dance pop,4.79E-04,0.000479,204693,204.693,3.41155
pop,dance pop,1.36E-05,0.0000136,225160,225.16,3.752666667
pop,dance pop,0,0,238338,238.338,3.9723
pop,dance pop,0.0207,0.0207,131204,131.204,2.186733333
pop,dance pop,0.00648,0.00648,170000,170,2.833333333
pop,dance pop,1.38E-05,0.0000138,147027,147.027,2.45045
pop,dance pop,1.04E-04,0.000104,204514,204.514,3.408566667
pop,dance pop,0.0645,0.0645,147840,147.84,2.464
pop,dance pop,4.60E-04,0.00046,157333,157.333,2.622216667
pop,dance pop,8.55E-05,0.0000855,200640,200.64,3.344
pop,dance pop,1.17E-05,0.0000117,160794,160.794,2.6799
pop,dance pop,6.69E-06,0.00000669,225000,225,3.75
pop,dance pop,7.15E-04,0.000715,178671,178.671,2.97785
pop,dance pop,0.00424,0.00424,176219,176.219,2.936983333
pop,dance pop,5.44E-04,0.000544,142230,142.23,2.3705
pop,dance pop,0.0372,0.0372,220205,220.205,3.670083333
pop,dance pop,1.06E-04,0.000106,179151,179.151,2.98585
pop,dance pop,1.87E-04,0.000187,223533,223.533,3.72555
pop,dance pop,0,0,196475,196.475,3.274583333
pop,dance pop,0,0,195924,195.924,3.2654
pop,dance pop,0,0,183934,183.934,3.065566667
pop,dance pop,0.00202,0.00202,195000,195,3.25
pop,dance pop,7.07E-06,0.00000707,193548,193.548,3.2258
pop,dance pop,0,0,127826,127.826,2.130433333
pop,dance pop,1.77E-06,0.00000177,184027,184.027,3.067116667
pop,dance pop,0,0,224061,224.061,3.73435
pop,dance pop,0,0,175312,175.312,2.921866667
pop,dance pop,0,0,179016,179.016,2.9836
pop,dance pop,1.35E-05,0.0000135,190645,190.645,3.177416667
pop,dance pop,0,0,157024,157.024,2.617066667
pop,dance pop,9.29E-05,0.0000929,188656,188.656,3.144266667
pop,dance pop,0,0,208947,208.947,3.48245
pop,dance pop,0,0,211362,211.362,3.5227
pop,dance pop,1.34E-05,0.0000134,184564,184.564,3.076066667
pop,dance pop,1.78E-05,0.0000178,167990,167.99,2.799833333
pop,dance pop,0,0,163000,163,2.716666667
pop,dance pop,0,0,185714,185.714,3.095233333
pop,dance pop,0,0,201905,201.905,3.365083333
pop,dance pop,0,0,183360,183.36,3.056
pop,dance pop,0,0,212280,212.28,3.538
pop,dance pop,0.0102,0.0102,176098,176.098,2.934966667
pop,dance pop,4.49E-06,0.00000449,193137,193.137,3.21895
pop,dance pop,0,0,183341,183.341,3.055683333
pop,dance pop,0,0,132233,132.233,2.203883333
pop,dance pop,1.10E-06,0.0000011,196493,196.493,3.274883333
pop,dance pop,0.0206,0.0206,221773,221.773,3.696216667
pop,dance pop,0,0,190295,190.295,3.171583333
pop,dance pop,0,0,193640,193.64,3.227333333
pop,dance pop,1.25E-06,0.00000125,156168,156.168,2.6028
pop,dance pop,0,0,186094,186.094,3.101566667
pop,dance pop,0,0,170103,170.103,2.83505
pop,dance pop,0,0,196571,196.571,3.276183333
pop,dance pop,0,0,180571,180.571,3.009516667
pop,dance pop,0,0,217804,217.804,3.630066667
pop,dance pop,0,0,192402,192.402,3.2067
pop,dance pop,0,0,205653,205.653,3.42755
pop,dance pop,0,0,169000,169,2.816666667
pop,dance pop,3.72E-06,0.00000372,200893,200.893,3.348216667
pop,dance pop,1.05E-05,0.0000105,226875,226.875,3.78125
pop,dance pop,0,0,191786,191.786,3.196433333
pop,dance pop,0,0,174545,174.545,2.909083333
pop,dance pop,0,0,198750,198.75,3.3125
pop,dance pop,0,0,206875,206.875,3.447916667
pop,dance pop,5.85E-05,0.0000585,186750,186.75,3.1125
pop,dance pop,5.24E-05,0.0000524,234609,234.609,3.91015
pop,dance pop,0,0,174444,174.444,2.9074
pop,dance pop,0,0,186000,186,3.1
pop,dance pop,0,0,191650,191.65,3.194166667
pop,dance pop,0,0,184020,184.02,3.067
pop,dance pop,0,0,195947,195.947,3.265783333
pop,dance pop,0,0,182161,182.161,3.036016667
pop,dance pop,0,0,176773,176.773,2.946216667
pop,dance pop,1.23E-05,0.0000123,186667,186.667,3.111116667
pop,dance pop,0,0,164010,164.01,2.7335
pop,dance pop,0.00982,0.00982,277262,277.262,4.621033333
pop,dance pop,0,0,167912,167.912,2.798533333
pop,dance pop,0.00485,0.00485,155520,155.52,2.592
pop,dance pop,0,0,211040,211.04,3.517333333
pop,dance pop,0,0,169467,169.467,2.82445
pop,dance pop,1.27E-04,0.000127,187301,187.301,3.121683333
pop,dance pop,0,0,163636,163.636,2.727266667
pop,dance pop,1.03E-05,0.0000103,180485,180.485,3.008083333
pop,dance pop,0.00627,0.00627,194618,194.618,3.243633333
pop,dance pop,0,0,197876,197.876,3.297933333
pop,dance pop,3.58E-06,0.00000358,178512,178.512,2.9752
pop,dance pop,0,0,180820,180.82,3.013666667
pop,dance pop,3.80E-06,0.0000038,158095,158.095,2.634916667
pop,dance pop,0,0,196475,196.475,3.274583333
pop,dance pop,0,0,218480,218.48,3.641333333
pop,dance pop,0,0,214641,214.641,3.57735
pop,dance pop,1.55E-04,0.000155,181875,181.875,3.03125
pop,dance pop,1.87E-04,0.000187,223533,223.533,3.72555
pop,dance pop,0,0,211680,211.68,3.528
pop,dance pop,1.23E-05,0.0000123,163805,163.805,2.730083333
pop,dance pop,9.44E-05,0.0000944,163216,163.216,2.720266667
pop,dance pop,0.0011,0.0011,157000,157,2.616666667
pop,dance pop,0,0,184653,184.653,3.07755
pop,dance pop,1.49E-05,0.0000149,177073,177.073,2.951216667
pop,dance pop,1.78E-06,0.00000178,169157,169.157,2.819283333
pop,dance pop,0,0,174933,174.933,2.91555
pop,dance pop,0,0,202520,202.52,3.375333333
pop,dance pop,1.08E-05,0.0000108,181040,181.04,3.017333333
pop,dance pop,5.88E-05,0.0000588,168636,168.636,2.8106
pop,dance pop,0,0,198880,198.88,3.314666667
pop,dance pop,5.76E-05,0.0000576,181960,181.96,3.032666667
pop,dance pop,0,0,217293,217.293,3.62155
pop,dance pop,2.21E-06,0.00000221,179500,179.5,2.991666667
pop,dance pop,5.03E-04,0.000503,229184,229.184,3.819733333
pop,dance pop,7.42E-06,0.00000742,216000,216,3.6
pop,dance pop,0.0011,0.0011,167871,167.871,2.79785
pop,dance pop,0,0,181673,181.673,3.027883333
pop,dance pop,1.15E-04,0.000115,222000,222,3.7
pop,dance pop,4.67E-04,0.000467,161280,161.28,2.688
pop,dance pop,0,0,236853,236.853,3.94755
pop,dance pop,1.41E-05,0.0000141,212733,212.733,3.54555
pop,dance pop,0,0,157005,157.005,2.61675
pop,dance pop,0,0,203000,203,3.383333333
pop,dance pop,0.251,0.251,150005,150.005,2.500083333
pop,dance pop,0,0,176658,176.658,2.9443
pop,dance pop,0,0,201257,201.257,3.354283333
pop,dance pop,0,0,184134,184.134,3.0689
pop,dance pop,1.23E-04,0.000123,166947,166.947,2.78245
pop,dance pop,1.33E-04,0.000133,240617,240.617,4.010283333
pop,dance pop,3.18E-04,0.000318,208107,208.107,3.46845
pop,dance pop,0.03,0.03,212280,212.28,3.538
pop,dance pop,0,0,215760,215.76,3.596
pop,dance pop,0.0119,0.0119,173067,173.067,2.88445
pop,dance pop,0,0,194360,194.36,3.239333333
pop,dance pop,0,0,187436,187.436,3.123933333
pop,dance pop,0,0,209341,209.341,3.489016667
pop,dance pop,0,0,230762,230.762,3.846033333
pop,dance pop,0,0,183027,183.027,3.05045
pop,dance pop,0,0,183345,183.345,3.05575
pop,dance pop,1.45E-06,0.00000145,129238,129.238,2.153966667
pop,dance pop,0,0,200322,200.322,3.3387
pop,dance pop,0.922,0.922,199245,199.245,3.32075
pop,dance pop,1.88E-06,0.00000188,217143,217.143,3.61905
pop,dance pop,0.13,0.13,194088,194.088,3.2348
pop,dance pop,1.87E-04,0.000187,191500,191.5,3.191666667
pop,dance pop,0.00119,0.00119,190698,190.698,3.1783
pop,dance pop,0.0316,0.0316,138750,138.75,2.3125
pop,dance pop,0.0236,0.0236,185161,185.161,3.086016667
pop,dance pop,0,0,173797,173.797,2.896616667
pop,dance pop,0.633,0.633,283193,283.193,4.719883333
pop,dance pop,6.13E-05,0.0000613,191954,191.954,3.199233333
pop,dance pop,0.00535,0.00535,195000,195,3.25
pop,dance pop,0.623,0.623,161250,161.25,2.6875
pop,dance pop,2.20E-05,0.000022,178132,178.132,2.968866667
pop,dance pop,0,0,190992,190.992,3.1832
pop,dance pop,0.168,0.168,162187,162.187,2.703116667
pop,dance pop,0,0,213707,213.707,3.561783333
pop,dance pop,0,0,230613,230.613,3.84355
pop,dance pop,0.00146,0.00146,105219,105.219,1.75365
pop,dance pop,0.0145,0.0145,202500,202.5,3.375
pop,dance pop,0.784,0.784,176260,176.26,2.937666667
pop,dance pop,0.588,0.588,217500,217.5,3.625
pop,dance pop,0,0,234680,234.68,3.911333333
pop,dance pop,0,0,215676,215.676,3.5946
pop,dance pop,0,0,202999,202.999,3.383316667
pop,dance pop,5.22E-05,0.0000522,195714,195.714,3.2619
pop,dance pop,0.0342,0.0342,172500,172.5,2.875
pop,dance pop,0.797,0.797,189625,189.625,3.160416667
pop,dance pop,3.83E-06,0.00000383,171712,171.712,2.861866667
pop,dance pop,1.65E-06,0.00000165,197267,197.267,3.287783333
pop,dance pop,0,0,213120,213.12,3.552
pop,dance pop,0,0,260000,260,4.333333333
pop,dance pop,0,0,254653,254.653,4.244216667
pop,dance pop,1.57E-04,0.000157,207630,207.63,3.4605
pop,dance pop,0,0,195707,195.707,3.261783333
pop,dance pop,0.557,0.557,147187,147.187,2.453116667
pop,dance pop,1.03E-06,0.00000103,182633,182.633,3.043883333
pop,dance pop,0,0,218357,218.357,3.639283333
pop,dance pop,0,0,211867,211.867,3.531116667
pop,dance pop,0,0,221233,221.233,3.687216667
pop,dance pop,0,0,222932,222.932,3.715533333
pop,dance pop,0,0,224882,224.882,3.748033333
pop,dance pop,0,0,230943,230.943,3.84905
pop,dance pop,0.0136,0.0136,203147,203.147,3.385783333
pop,dance pop,1.89E-05,0.0000189,163040,163.04,2.717333333
pop,dance pop,4.91E-04,0.000491,215140,215.14,3.585666667
pop,dance pop,0.0182,0.0182,181200,181.2,3.02
pop,dance pop,0,0,208333,208.333,3.472216667
pop,dance pop,0,0,195433,195.433,3.257216667
pop,dance pop,0,0,193553,193.553,3.225883333
pop,dance pop,0,0,240100,240.1,4.001666667
pop,dance pop,0,0,270904,270.904,4.515066667
pop,dance pop,0,0,208376,208.376,3.472933333
pop,dance pop,9.13E-04,0.000913,225412,225.412,3.756866667
pop,dance pop,0,0,223920,223.92,3.732
pop,dance pop,0,0,244061,244.061,4.067683333
pop,dance pop,1.63E-05,0.0000163,205928,205.928,3.432133333
pop,dance pop,0,0,228371,228.371,3.806183333
pop,dance pop,4.78E-04,0.000478,162827,162.827,2.713783333
pop,dance pop,0,0,217000,217,3.616666667
pop,dance pop,0,0,292587,292.587,4.87645
pop,dance pop,0,0,196367,196.367,3.272783333
pop,dance pop,2.96E-04,0.000296,232832,232.832,3.880533333
pop,dance pop,0,0,214118,214.118,3.568633333
pop,dance pop,0,0,184935,184.935,3.08225
pop,dance pop,0,0,193417,193.417,3.223616667
pop,dance pop,1.37E-06,0.00000137,232973,232.973,3.882883333
pop,dance pop,8.83E-06,0.00000883,224333,224.333,3.738883333
pop,dance pop,0,0,199440,199.44,3.324
pop,dance pop,0,0,214627,214.627,3.577116667
pop,dance pop,1.90E-05,0.000019,211547,211.547,3.525783333
pop,dance pop,0,0,198368,198.368,3.306133333
pop,dance pop,1.80E-06,0.0000018,210134,210.134,3.502233333
pop,dance pop,4.81E-04,0.000481,200712,200.712,3.3452
pop,dance pop,0,0,283400,283.4,4.723333333
pop,dance pop,0.00485,0.00485,212211,212.211,3.53685
pop,dance pop,0.0501,0.0501,208333,208.333,3.472216667
pop,dance pop,1.01E-04,0.000101,166523,166.523,2.775383333
pop,dance pop,6.48E-04,0.000648,311976,311.976,5.1996
pop,dance pop,2.94E-04,0.000294,157288,157.288,2.621466667
pop,dance pop,0,0,264935,264.935,4.415583333
pop,dance pop,0,0,221387,221.387,3.689783333
pop,dance pop,0.0979,0.0979,220631,220.631,3.677183333
pop,dance pop,0,0,146500,146.5,2.441666667
pop,dance pop,0,0,249187,249.187,4.153116667
pop,dance pop,0.0353,0.0353,237071,237.071,3.951183333
pop,dance pop,0,0,225273,225.273,3.75455
pop,dance pop,1.04E-06,0.00000104,244187,244.187,4.069783333
pop,dance pop,2.31E-05,0.0000231,214132,214.132,3.568866667
pop,dance pop,0.00696,0.00696,207213,207.213,3.45355
pop,dance pop,0,0,208530,208.53,3.4755
pop,dance pop,0.0298,0.0298,141473,141.473,2.357883333
pop,dance pop,2.49E-04,0.000249,242627,242.627,4.043783333
pop,dance pop,0,0,221100,221.1,3.685
pop,dance pop,8.47E-05,0.0000847,241164,241.164,4.0194
pop,dance pop,7.76E-04,0.000776,213147,213.147,3.55245
pop,dance pop,0.0795,0.0795,189147,189.147,3.15245
pop,dance pop,0,0,190903,190.903,3.181716667
pop,dance pop,0,0,206578,206.578,3.442966667
pop,dance pop,3.42E-06,0.00000342,213164,213.164,3.552733333
pop,dance pop,0,0,199013,199.013,3.316883333
pop,dance pop,0,0,209355,209.355,3.48925
pop,dance pop,0,0,204893,204.893,3.414883333
pop,dance pop,0,0,219760,219.76,3.662666667
pop,dance pop,0.00257,0.00257,189050,189.05,3.150833333
pop,dance pop,0,0,200465,200.465,3.341083333
pop,dance pop,0,0,251293,251.293,4.188216667
pop,dance pop,3.15E-05,0.0000315,195307,195.307,3.255116667
pop,dance pop,0.00666,0.00666,208863,208.863,3.48105
pop,dance pop,0,0,193160,193.16,3.219333333
pop,dance pop,0,0,191100,191.1,3.185
pop,dance pop,0,0,166213,166.213,2.770216667
pop,dance pop,0,0,229773,229.773,3.82955
pop,dance pop,0,0,228682,228.682,3.811366667
pop,dance pop,0,0,195856,195.856,3.264266667
pop,dance pop,0,0,222732,222.732,3.7122
pop,dance pop,0,0,238726,238.726,3.978766667
pop,dance pop,0,0,193734,193.734,3.2289
pop,dance pop,0,0,213264,213.264,3.5544
pop,dance pop,0,0,207617,207.617,3.460283333
pop,dance pop,0,0,216640,216.64,3.610666667
pop,dance pop,0,0,210641,210.641,3.510683333
pop,dance pop,0,0,237077,237.077,3.951283333
pop,dance pop,0,0,196018,196.018,3.266966667
pop,dance pop,1.23E-04,0.000123,163509,163.509,2.72515
pop,dance pop,0,0,223123,223.123,3.718716667
pop,dance pop,0,0,212136,212.136,3.5356
pop,dance pop,3.71E-06,0.00000371,237685,237.685,3.961416667
pop,dance pop,0,0,211320,211.32,3.522
pop,dance pop,0,0,205820,205.82,3.430333333
pop,dance pop,0,0,193579,193.579,3.226316667
pop,dance pop,1.76E-05,0.0000176,193253,193.253,3.220883333
pop,dance pop,0.00431,0.00431,208475,208.475,3.474583333
pop,dance pop,0,0,205821,205.821,3.43035
pop,dance pop,0,0,211237,211.237,3.520616667
pop,dance pop,0,0,197252,197.252,3.287533333
pop,dance pop,0,0,203493,203.493,3.39155
pop,dance pop,1.40E-06,0.0000014,195000,195,3.25
pop,dance pop,1.83E-04,0.000183,214137,214.137,3.56895
pop,dance pop,9.84E-05,0.0000984,200243,200.243,3.337383333
pop,dance pop,4.73E-06,0.00000473,203507,203.507,3.391783333
pop,dance pop,3.26E-04,0.000326,181976,181.976,3.032933333
pop,dance pop,0,0,279423,279.423,4.65705
pop,dance pop,0,0,208968,208.968,3.4828
pop,dance pop,0,0,214293,214.293,3.57155
pop,dance pop,0,0,195027,195.027,3.25045
pop,dance pop,0.00745,0.00745,202040,202.04,3.367333333
pop,dance pop,0,0,174880,174.88,2.914666667
pop,dance pop,0,0,188893,188.893,3.148216667
