track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,acousticness,liveness
So Am I - Toby Green Remix,Ava Max,62,23/5/19,0.625,0.938,0.00432,0.0923
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,19/4/19,0.679,0.909,0.0334,0.269
Mother - Fedde Le Grand Remix,Charlie Puth,56,1/11/19,0.641,0.869,0.0319,0.403
Signs - Eden Prince Remix,Starley,56,30/11/18,0.702,0.814,0.107,0.374
Ruin My Life - Steve James Remix,Zara Larsson,58,23/11/18,0.723,0.837,0.0103,0.0834
Torn - KREAM Remix,Ava Max,60,5/9/19,0.742,0.864,0.00141,0.241
Quite Miss Home - Steve Void Remix,James Arthur,60,22/11/19,0.716,0.815,0.108,0.163
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,21/6/19,0.748,0.831,0.0823,0.0757
Happier - Matt Medved Remix,Marshmello,59,30/11/18,0.816,0.833,0.126,0.0625
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,25/7/18,0.633,0.854,0.0382,0.434
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,12/7/19,0.563,0.81,0.00522,0.0846
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,27/6/19,0.728,0.815,0.00223,0.101
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,25/10/19,0.846,0.773,0.0141,0.204
Higher Love,Kygo,87,28/6/19,0.693,0.678,0.0154,0.101
Unlove You,Armin van Buuren,62,18/10/19,0.678,0.928,0.0303,0.143
bad guy (with Justin Bieber),Billie Eilish,83,11/7/19,0.67,0.453,0.252,0.117
Freaking Me Out - Keanu Silva Remix,Ava Max,55,1/11/19,0.755,0.931,0.132,0.0854
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,24/5/19,0.622,0.859,6.09E-04,0.0909
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,25/10/19,0.789,0.893,0.0538,0.221
Gone - The Wild Remix,Charli XCX,57,9/8/19,0.64,0.838,0.0588,0.0424
American Boy - Brooks Remix,Estelle,56,14/6/19,0.609,0.764,0.0994,0.197
Million Pieces - M-22 Remix,Bastille,53,27/9/19,0.64,0.992,0.0832,0.109
joy. (R3HAB Remix),for KING & COUNTRY,56,25/1/19,0.75,0.81,0.0917,0.111
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,12/11/19,0.535,0.956,6.09E-04,0.262
Old Town Road - Diplo Remix,Lil Nas X,74,29/4/19,0.766,0.771,0.00407,0.113
Lovers + Strangers - GATTÜSO Remix,Starley,46,15/11/19,0.649,0.821,0.017,0.0655
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,19/10/18,0.588,0.697,0.186,0.103
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,12/12/19,0.355,0.789,0.0148,0.0355
What Am I - SONDR Remix,Why Don't We,52,1/11/19,0.542,0.84,0.0336,0.277
Cool Kids,Olympis,67,1/11/19,0.735,0.5,0.415,0.13
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,9/8/19,0.752,0.84,0.00486,0.0916
All Star - Breathe Carolina Remix,Smash Mouth,60,23/8/19,0.748,0.903,0.0324,0.106
Trampoline - Dave Audé Remix,SHAED,45,27/12/19,0.607,0.955,0.0163,0.0725
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,11/7/19,0.607,0.995,0.0921,0.0445
With You - Dexter Remix,Kaskade,51,12/9/19,0.679,0.786,0.119,0.224
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,15/11/19,0.714,0.801,0.0204,0.334
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,28/9/18,0.69,0.862,0.0611,0.238
Talk - Disclosure VIP,Khalid,60,27/3/19,0.775,0.867,0.0158,0.0355
Spicy - Majestic Remix,Herve Pagez,48,11/10/19,0.814,0.838,0.001,0.0185
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,4/10/19,0.784,0.779,0.0357,0.0245
Treehouse - R3HAB Remix,James Arthur,56,13/9/19,0.367,0.783,0.00515,0.0545
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,9/2/18,0.609,0.83,0.201,0.0321
Call You Mine,The Chainsmokers,39,31/5/19,0.591,0.702,0.225,0.414
Post Malone (feat. RANI),Sam Feldt,83,24/5/19,0.59,0.642,0.0771,0.105
Here With Me,Marshmello,83,8/3/19,0.791,0.565,0.0623,0.156
Easier - Seeb Remix,5 Seconds of Summer,71,12/7/19,0.564,0.747,0.0728,0.151
Sixteen,Ellie Goulding,81,12/4/19,0.669,0.801,0.268,0.0594
Never Really Over,Katy Perry,85,31/5/19,0.77,0.882,0.194,0.316
All You Need To Know (feat. Calle Lehmann),Gryffin,76,27/3/19,0.513,0.788,0.00968,0.11
I Miss Myself (with HRVY),NOTD,71,3/5/19,0.72,0.864,0.0856,0.16
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,4/10/19,0.789,0.858,0.22,0.335
Takeaway (feat. Lennon Stella),The Chainsmokers,67,24/7/19,0.294,0.505,0.12,0.0977
All the Time,Zara Larsson,74,21/6/19,0.665,0.799,0.18,0.125
What I Like About You (feat. Theresa Rex),Jonas Blue,81,22/3/19,0.46,0.8,0.289,0.121
With You,Kaskade,71,14/6/19,0.362,0.921,0.123,0.19
Body Back (feat. Maia Wright),Gryffin,75,18/10/19,0.686,0.83,0.0948,0.182
Not Ok,Kygo,73,23/5/19,0.618,0.66,0.0292,0.325
Ruin My Life,Zara Larsson,79,18/10/18,0.665,0.699,0.423,0.0969
I Wanna Know (feat. Bea Miller),NOTD,74,16/3/18,0.661,0.725,0.0253,0.123
Better With You,3LAU,63,1/3/19,0.571,0.752,0.0196,0.114
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,19/4/19,0.591,0.705,0.381,0.131
Polaroid,Jonas Blue,16,9/11/18,0.652,0.898,0.29,0.073
Lost In Japan - Remix,Shawn Mendes,75,27/9/18,0.706,0.855,0.0911,0.347
In Your Arms (with X Ambassadors),ILLENIUM,75,16/8/19,0.404,0.806,0.198,0.114
I'm Not Alright,Loud Luxury,55,12/7/19,0.876,0.856,0.0812,0.457
SOS,Avicii,30,10/4/19,0.802,0.645,0.272,0.119
Harder,Jax Jones,62,12/7/19,0.906,0.832,0.0909,0.152
The Middle,Zedd,84,23/1/18,0.753,0.657,0.171,0.112
Wanted,NOTD,70,27/9/19,0.693,0.674,0.185,0.0639
Crash Into Me,Steve Aoki,37,12/7/19,0.672,0.815,0.00246,0.577
Need Your Love (with Noah Kahan),Gryffin,70,24/10/19,0.581,0.76,0.16,0.183
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,13/5/19,0.643,0.594,0.0128,0.118
Don't Call Me Up,Mabel,85,18/1/19,0.674,0.881,0.296,0.0793
Nostalgic,A R I Z O N A,36,18/6/19,0.691,0.538,0.246,0.178
Let It Be Me,Steve Aoki,52,6/9/19,0.661,0.758,0.0797,0.106
Lovers + Strangers,Starley,58,11/10/19,0.653,0.69,0.109,0.136
Sad Song (feat. TINI),Alesso,72,14/6/19,0.734,0.693,0.0878,0.341
Sleepless Nights,ayokay,64,31/8/18,0.663,0.696,0.0563,0.226
Save Me Tonight,ARTY,63,25/1/19,0.55,0.899,0.0113,0.137
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,2/3/17,0.703,0.868,0.15,0.104
No Sleep (feat. Bonn),Martin Garrix,76,21/2/19,0.44,0.635,0.129,0.121
Feel Good (feat. Daya),Gryffin,74,3/3/17,0.625,0.707,0.22,0.213
Endless Summer,Cashae,56,12/7/19,0.625,0.719,0.048,0.0668
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,25/10/19,0.547,0.795,0.145,0.11
Think About You,Kygo,71,14/2/19,0.673,0.596,0.166,0.11
Party For One,Carly Rae Jepsen,64,17/5/19,0.699,0.633,0.0453,0.101
Ritual,Tiësto,82,31/5/19,0.647,0.726,0.157,0.0844
Electricity (with Dua Lipa),Silk City,81,6/9/18,0.588,0.67,0.0104,0.338
Lie,Shallou,41,25/1/18,0.655,0.427,0.295,0.0788
I Found You (with Calvin Harris),benny blanco,62,7/12/18,0.79,0.865,0.0264,0.24
Now That I Found You,Carly Rae Jepsen,5,27/2/19,0.611,0.737,0.0145,0.107
All Comes Back To You,R3HAB,72,25/10/19,0.726,0.763,0.524,0.0943
Need U,DVBBS,24,16/8/19,0.714,0.705,0.292,0.126
First Love,Lost Kings,58,13/10/17,0.619,0.938,0.0257,0.128
Something Real,Armin van Buuren,65,12/7/19,0.575,0.808,0.0446,0.0693
TIME,Alesso,64,8/3/19,0.768,0.808,0.00627,0.343
Something About You (with Rudimental),Elderbrook,53,9/8/19,0.767,0.605,0.559,0.193
Home (feat. Bonn),Martin Garrix,72,16/8/19,0.466,0.612,0.0655,0.132
Simple (STVW Remix),FANNYPACK,39,12/4/19,0.434,0.917,0.301,0.289
Sorry,Joel Corry,75,5/4/19,0.744,0.79,0.0547,0.32
Spicy (with Diplo & Charli XCX),Herve Pagez,60,30/5/19,0.837,0.818,0.0527,0.11
The Upside (feat. Elle King),Lindsey Stirling,18,2/8/19,0.514,0.856,0.00123,0.544
Stay,Zedd,79,23/2/17,0.69,0.622,0.253,0.116
Million Voices,Armin van Buuren,60,25/10/19,0.466,0.869,0.0142,0.115
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,28/9/18,0.842,0.801,0.157,0.0642
Closer (feat. Halsey),The Chainsmokers,85,29/7/16,0.748,0.524,0.414,0.111
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,13/10/14,0.647,0.624,0.025,0.0616
Clarity,Zedd,74,1/1/12,0.509,0.781,0.0398,0.0749
Solo (feat. Demi Lovato),Clean Bandit,80,17/5/18,0.737,0.636,0.0441,0.35
Scared to Be Lonely,Martin Garrix,81,27/1/17,0.584,0.54,0.0895,0.261
Friends (with BloodPop®),Justin Bieber,76,17/8/17,0.743,0.733,0.00402,0.304
RITMO (Bad Boys For Life),The Black Eyed Peas,96,12/10/19,0.721,0.716,0.0334,0.237
Promises (with Sam Smith),Calvin Harris,84,17/8/18,0.781,0.768,0.0119,0.325
Turn Me On (feat. Vula),Riton,86,13/9/19,0.737,0.828,0.0149,0.0862
Light,San Holo,68,10/2/17,0.57,0.763,0.0857,0.0932
2U,David Guetta,66,9/6/17,0.551,0.651,0.225,0.224
Something Just Like This,The Chainsmokers,83,7/4/17,0.617,0.635,0.0498,0.164
One Kiss (with Dua Lipa),Calvin Harris,85,6/4/18,0.791,0.862,0.037,0.0814
Heroes (we could be),Alesso,73,26/5/15,0.503,0.748,0.0305,0.343
It Ain’t Me (with Selena Gomez),Kygo,69,17/2/17,0.64,0.533,0.119,0.0864
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,1/1/12,0.658,0.677,0.248,0.368
Let Me Love You,DJ Snake,81,5/8/16,0.649,0.716,0.0863,0.135
Roses,The Chainsmokers,73,16/6/15,0.713,0.802,0.0435,0.309
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,2012,0.596,0.738,0.109,0.0947
Latch,Disclosure,19,1/1/13,0.503,0.727,0.0159,0.0895
Flames,David Guetta,57,14/9/18,0.609,0.726,0.0723,0.0895
Sorry,Justin Bieber,81,13/11/15,0.654,0.76,0.0797,0.299
This Is What You Came For,Calvin Harris,79,29/4/16,0.63,0.928,0.199,0.148
Wake Me Up,Avicii,84,1/1/13,0.532,0.783,0.0038,0.161
In My Mind,Dynoro,84,8/6/18,0.694,0.77,0.176,0.118
Titanium (feat. Sia),David Guetta,66,26/8/11,0.604,0.787,0.0679,0.127
Where Are Ü Now,Skrillex,8,13/11/15,0.432,0.74,0.0342,0.14
Firework,Katy Perry,64,1/1/10,0.638,0.832,0.141,0.113
Mi Gente (feat. Beyoncé),J Balvin,61,28/9/17,0.759,0.716,0.0223,0.231
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,1/1/12,0.614,0.832,0.11,0.185
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,23/9/16,0.669,0.832,0.0106,0.0968
Anything Could Happen,Ellie Goulding,57,1/1/12,0.702,0.781,0.433,0.135
Poker Face,Lady Gaga,69,1/1/08,0.851,0.806,0.12,0.121
How Deep Is Your Love,Calvin Harris,77,17/7/15,0.738,0.868,0.0389,0.388
In Your Eyes (feat. Alida),Robin Schulz,74,10/1/20,0.57,0.672,0.177,0.0768
Wish You Well (with Sigala),Sigala,5,27/9/19,0.67,0.89,0.122,0.333
With You - LöKii Remix,Kaskade,57,12/9/19,0.708,0.727,0.0201,0.37
Dive,Hot Shade,68,20/12/19,0.654,0.787,0.00515,0.144
No Goodbye,Paul Kalkbrenner,65,26/7/19,0.945,0.584,0.0955,0.147
Work,MOTi,58,25/1/19,0.704,0.929,0.0395,0.181
Instagram,Dimitri Vegas & Like Mike,81,5/7/19,0.765,0.906,0.125,0.423
Better Off Without You (feat. Shift K3Y),Becky Hill,68,10/1/20,0.682,0.855,0.0566,0.101
Butterfly,Molella,43,21/6/19,0.627,0.662,0.0922,0.143
All The Love You Got,MOTi,57,20/12/19,0.762,0.736,0.135,0.113
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,19/7/19,0.577,0.844,0.00407,0.499
Love Is Not Enough,GATTÜSO,58,19/12/19,0.632,0.816,0.00205,0.119
Lose Control,MEDUZA,91,11/10/19,0.598,0.526,0.129,0.14
I Wanna Dance,Jonas Blue,67,19/7/19,0.825,0.841,0.0906,0.258
After The Landslide - Club Remix,Matt Simons,42,19/9/19,0.63,0.731,0.0191,0.704
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,29/8/19,0.795,0.899,0.00235,0.199
Pon de Replay,Ed Marquis,64,28/4/17,0.529,0.717,0.123,0.0363
So Close,NOTD,79,2/11/18,0.7,0.872,0.121,0.103
Look Into My Eyes,Brando,48,10/1/20,0.791,0.541,0.123,0.121
Not in Control,Glaceo,53,20/12/19,0.904,0.633,0.203,0.163
BLUE,Tiësto,75,13/12/19,0.744,0.725,0.018,0.212
Don't Waste My Time,Kharfi,46,8/11/19,0.772,0.687,0.0528,0.834
Beat Of My Heart,Lost Frequencies,67,4/10/19,0.706,0.524,0.127,0.109
Don't Start Now - Kungs Remix,Dua Lipa,65,18/12/19,0.664,0.699,0.0352,0.0612
Drunken Truth,Steve Void,56,20/12/19,0.781,0.745,0.0814,0.106
Jacques,Jax Jones,42,28/8/19,0.789,0.547,0.072,0.0782
Something Real,Armin van Buuren,58,25/10/19,0.575,0.808,0.0446,0.0693
Stay (Don't Go Away) [feat. Raye],David Guetta,74,9/5/19,0.669,0.797,0.259,0.199
Solid Gold,PNAU,65,2/5/19,0.567,0.946,0.0978,0.0836
One Life,Mike Perry,64,27/9/19,0.653,0.757,0.0997,0.242
All ‘Bout The Money,FAULHABER,51,18/10/19,0.721,0.779,0.142,0.143
Never Letting Go,Audien,63,9/11/18,0.534,0.765,0.0915,0.225
Used To Love (with Dean Lewis),Martin Garrix,83,31/10/19,0.651,0.693,0.458,0.335
Giulia,Prince Paris,55,29/11/19,0.682,0.923,0.00395,0.242
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,18/10/19,0.66,0.827,0.429,0.0923
Dreams Of You (feat. Rae Morris),Icarus,48,4/10/19,0.57,0.965,0.00108,0.201
I Will Let You Down (feat. KLARA),Madison Mars,59,6/12/19,0.608,0.918,0.199,0.309
Carillon (with Achille Lauro),Nahaze,64,11/12/19,0.561,0.562,0.062,0.118
La Vie - Gabry Ponte Mix,DJ Ross,42,15/11/19,0.591,0.88,0.0804,0.326
Lullaby,R3HAB,70,26/1/18,0.626,0.8,0.0267,0.0623
Say It,Phantoms,57,19/7/19,0.745,0.8,0.0209,0.113
All This Time,Deorro,21,12/7/19,0.66,0.857,0.167,0.119
All You Need To Know (feat. Calle Lehmann),Gryffin,68,24/10/19,0.53,0.729,0.00699,0.103
Acordeão,Tiësto,63,8/8/19,0.552,0.887,0.0457,0.0903
My Friend,Yves V,54,31/5/19,0.471,0.911,0.0316,0.571
On & On,Alok,79,22/11/19,0.747,0.776,0.0233,0.761
Juliet & Romeo,Martin Solveig,72,6/12/19,0.712,0.664,0.0416,0.0668
All Around The World (La La La),R3HAB,80,5/4/19,0.733,0.859,0.479,0.105
Are You Lonely (feat. ISÁK),Steve Aoki,47,22/2/19,0.517,0.793,0.0214,0.0892
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,1/3/19,0.675,0.674,0.00339,0.279
Close Your Eyes,Felix Jaehn,79,22/11/19,0.818,0.823,0.0663,0.133
Buzzing (with Nevve),Audien,59,8/11/19,0.639,0.591,0.128,0.159
Never Be Alone (feat. Aloe Blacc),David Guetta,68,26/7/19,0.535,0.906,0.0202,0.0886
Roses - Imanbek Remix,SAINt JHN,72,13/9/19,0.784,0.721,0.0149,0.285
Insane,Ofenbach,66,15/11/19,0.809,0.758,0.409,0.166
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,3/1/20,0.669,0.793,0.0318,0.555
Only Want You - Sam Feldt Remix,Rita Ora,64,5/4/19,0.578,0.786,0.232,0.122
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,1/2/19,0.733,0.839,0.0145,0.162
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,2/5/19,0.63,0.726,0.0717,0.108
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,27/9/19,0.845,0.766,0.212,0.111
Not Ok - Frank Walker Remix,Kygo,66,5/7/19,0.679,0.866,0.0337,0.0688
Heaven (feat. Veronica),Dzeko,68,4/1/19,0.657,0.882,0.247,0.112
Sixteen - Don Diablo Remix,Ellie Goulding,66,10/5/19,0.493,0.773,0.429,0.0807
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,10/5/19,0.687,0.706,0.091,0.124
Brave,Don Diablo,68,26/4/19,0.654,0.874,0.169,0.134
Let It Be Me,Steve Aoki,23,6/9/19,0.661,0.758,0.0797,0.106
Carry On - Nicky Romero Remix,Kygo,67,30/5/19,0.447,0.684,0.175,0.478
Magnets (feat. Sophie Simmons),Sam Feldt,62,10/5/19,0.731,0.802,0.022,0.059
Don't Give Up On Me,Andy Grammer,9,12/4/19,0.489,0.766,0.0511,0.126
Found Love (feat. Lovespeake),MOTi,59,15/2/19,0.6,0.888,0.00166,0.4
These Are The Times (feat. JRM),Martin Garrix,71,18/7/19,0.687,0.707,0.0536,0.16
Wherever You Go,Jonas Blue,21,9/11/18,0.711,0.724,0.0835,0.0389
Happy Now,Kygo,81,26/10/18,0.693,0.575,0.374,0.252
Roots,Valerie Broussard,69,16/8/19,0.683,0.785,0.0643,0.177
Talk - Alle Farben Remix,Khalid,56,4/4/19,0.638,0.818,0.131,0.107
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,19/7/19,0.707,0.806,0.00908,0.366
High Hopes - Don Diablo Remix,Panic! At The Disco,60,11/1/19,0.59,0.888,0.0216,0.487
Summer Air (feat. Trevor Guthrie),Hardwell,40,31/5/19,0.632,0.574,0.0942,0.215
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,28/6/19,0.703,0.879,0.0693,0.315
Bruises - Steve Void Remix,Lewis Capaldi,70,27/9/19,0.79,0.746,0.241,0.316
Insomnia - King Arthur Remix,Daya,63,17/5/19,0.733,0.718,0.0107,0.33
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,24/4/19,0.728,0.848,0.0427,0.118
I Miss Myself - R3HAB Remix,NOTD,56,7/6/19,0.502,0.78,0.333,0.72
8 Letters - R3HAB Remix,Why Don't We,2,28/9/18,0.638,0.708,0.24,0.311
You Deserve Better - Andrelli Remix,James Arthur,53,29/6/18,0.685,0.712,0.334,0.047
Remember (with ZOHARA),Gryffin,11,26/10/18,0.62,0.906,0.102,0.183
REMEDY,Alesso,77,31/8/18,0.601,0.775,0.269,0.0883
Leave,Borgeous,56,25/1/19,0.762,0.665,0.169,0.103
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,8/3/19,0.684,0.95,0.0207,0.105
I'm Not Sorry,Hardwell,34,8/3/19,0.65,0.819,0.117,0.0772
Tequila - Robin Schulz Remix,Dan + Shay,54,21/3/19,0.448,0.836,0.229,0.427
Happier - Frank Walker Remix,Marshmello,51,19/10/18,0.712,0.646,0.116,0.123
Sing It With Me - Embody Remix,JP Cooper,50,21/6/19,0.674,0.854,0.054,0.379
Thursday - Nicky Romero Remix,Jess Glynne,52,7/12/18,0.739,0.622,0.532,0.0508
Better When You're Gone,David Guetta,76,8/2/19,0.647,0.795,0.0635,0.188
Wish You Well,Sigala,75,24/5/19,0.669,0.895,0.128,0.297
Only When It Rains,Frank Walker,52,29/3/19,0.792,0.724,0.219,0.0911
Mad Love - Blinkie Remix,Mabel,62,5/7/19,0.706,0.931,0.354,0.146
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,16/8/18,0.645,0.795,0.0334,0.089
Better Day (feat. Aloe Blacc),Young Bombs,62,1/11/19,0.662,0.823,0.073,0.0833
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,2/8/19,0.673,0.885,0.143,0.184
Discovery,Syn Cole,55,31/5/19,0.516,0.857,0.0368,0.264
With You - Frank Walker Remix,Tyler Shaw,49,1/2/19,0.686,0.613,0.0386,0.251
2 Hearts (feat. Gia Koka),Sam Feldt,70,10/1/20,0.503,0.754,0.264,0.297
Love You Forever,Nicky Romero,61,21/6/19,0.382,0.698,0.00236,0.108
Post Malone (feat. RANI),Sam Feldt,75,16/8/19,0.59,0.642,0.0771,0.105
Thorns,Faustix,60,29/3/19,0.708,0.825,0.031,0.191
Shotgun (The Wild Remix),George Ezra,63,15/6/18,0.588,0.757,0.327,0.323
True Colors (feat. Maya Avedis),XO Cupid,73,21/9/18,0.636,0.63,0.0796,0.13
Crying In The Sun,Faustix,60,23/11/18,0.682,0.786,0.214,0.12
Need You,Faustix,62,26/7/19,0.639,0.705,0.045,0.425
Sweet Dreams (Are Made of This),Winati,67,21/6/19,0.815,0.647,0.399,0.0738
Million Lights,Tungevaag & Raaban,61,22/3/19,0.696,0.907,0.0191,0.124
Dancing in the Moonlight,Jubël,71,22/6/18,0.659,0.617,0.27,0.187
Heaven,Avicii,80,6/6/19,0.592,0.873,0.0715,0.142
Forever Young,John De Sohn,68,27/7/18,0.651,0.617,0.179,0.113
eoh,Olympis,60,16/8/19,0.707,0.585,0.145,0.257
Nobody,Martin Jensen,66,1/3/19,0.673,0.687,0.269,0.181
All Day And Night,Jax Jones,75,12/7/19,0.567,0.765,0.317,0.14
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,1/11/18,0.768,0.83,0.0229,0.145
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,22/6/18,0.734,0.765,0.151,0.231
All For Love,Tungevaag & Raaban,68,23/3/18,0.689,0.901,0.145,0.459
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,29/3/19,0.676,0.582,0.221,0.515
One Touch,Jess Glynne,70,12/10/18,0.686,0.693,0.329,0.136
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,30/8/19,0.763,0.674,0.0106,0.0321
Be Your Friend‬‬,Vigiland,67,2/3/18,0.6,0.754,0.0688,0.151
Happier - Breathe Carolina Remix,Marshmello,62,19/10/18,0.691,0.924,0.00828,0.402
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,2/5/19,0.63,0.726,0.0717,0.108
Just Got Paid,Sigala,65,28/9/18,0.734,0.921,0.0328,0.197
No One - Jonas Blue Remix,Jess Glynne,51,15/3/19,0.605,0.854,0.0673,0.54
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,22/3/19,0.609,0.523,0.00959,0.15
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,61,1/2/19,0.733,0.839,0.0145,0.162
Darkside,Alan Walker,76,14/12/18,0.43,0.606,0.131,0.173
