track_name,track_artist,track_popularity,track_album_release_date
Something Real,Armin van Buuren,65,12/7/19
TIME,Alesso,64,8/3/19
Something About You (with Rudimental),Elderbrook,53,9/8/19
Home (feat. Bonn),Martin Garrix,72,16/8/19
Simple (STVW Remix),FANNYPACK,39,12/4/19
Sorry,Joel Corry,75,5/4/19
Spicy (with Diplo & Charli XCX),Herve Pagez,60,30/5/19
The Upside (feat. Elle King),Lindsey Stirling,18,2/8/19
Stay,Zedd,79,23/2/17
Million Voices,Armin van Buuren,60,25/10/19
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,28/9/18
Closer (feat. Halsey),The Chainsmokers,85,29/7/16
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,13/10/14
Clarity,Zedd,74,1/1/12
Solo (feat. Demi Lovato),Clean Bandit,80,17/5/18
Scared to Be Lonely,Martin Garrix,81,27/1/17
Friends (with BloodPop®),Justin Bieber,76,17/8/17
RITMO (Bad Boys For Life),The Black Eyed Peas,96,12/10/19
Promises (with Sam Smith),Calvin Harris,84,17/8/18
Turn Me On (feat. Vula),Riton,86,13/9/19
Light,San Holo,68,10/2/17
2U,David Guetta,66,9/6/17
Something Just Like This,The Chainsmokers,83,7/4/17
One Kiss (with Dua Lipa),Calvin Harris,85,6/4/18
Heroes (we could be),Alesso,73,26/5/15
It Ain’t Me (with Selena Gomez),Kygo,69,17/2/17
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,1/1/12
Let Me Love You,DJ Snake,81,5/8/16
Roses,The Chainsmokers,73,16/6/15
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,4/7/05
Latch,Disclosure,19,1/1/13
Flames,David Guetta,57,14/9/18
Sorry,Justin Bieber,81,13/11/15
This Is What You Came For,Calvin Harris,79,29/4/16
Wake Me Up,Avicii,84,1/1/13
In My Mind,Dynoro,84,8/6/18
Titanium (feat. Sia),David Guetta,66,26/8/11
Where Are Ü Now,Skrillex,8,13/11/15
Firework,Katy Perry,64,1/1/10
Mi Gente (feat. Beyoncé),J Balvin,61,28/9/17
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,1/1/12
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,23/9/16
Anything Could Happen,Ellie Goulding,57,1/1/12
Poker Face,Lady Gaga,69,1/1/08
How Deep Is Your Love,Calvin Harris,77,17/7/15
In Your Eyes (feat. Alida),Robin Schulz,74,10/1/20
Wish You Well (with Sigala),Sigala,5,27/9/19
With You - LöKii Remix,Kaskade,57,12/9/19
Dive,Hot Shade,68,20/12/19
No Goodbye,Paul Kalkbrenner,65,26/7/19
Work,MOTi,58,25/1/19
Instagram,Dimitri Vegas & Like Mike,81,5/7/19
Better Off Without You (feat. Shift K3Y),Becky Hill,68,10/1/20
Butterfly,Molella,43,21/6/19
All The Love You Got,MOTi,57,20/12/19
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,19/7/19
Love Is Not Enough,GATTÜSO,58,19/12/19
Lose Control,MEDUZA,91,11/10/19
I Wanna Dance,Jonas Blue,67,19/7/19
After The Landslide - Club Remix,Matt Simons,42,19/9/19
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,29/8/19
Pon de Replay,Ed Marquis,64,28/4/17
So Close,NOTD,79,2/11/18
Look Into My Eyes,Brando,48,10/1/20
Not in Control,Glaceo,53,20/12/19
BLUE,Tiësto,75,13/12/19
Don't Waste My Time,Kharfi,46,8/11/19
Beat Of My Heart,Lost Frequencies,67,4/10/19
Don't Start Now - Kungs Remix,Dua Lipa,65,18/12/19
Drunken Truth,Steve Void,56,20/12/19
Jacques,Jax Jones,42,28/8/19
Something Real,Armin van Buuren,58,25/10/19
Stay (Don't Go Away) [feat. Raye],David Guetta,74,9/5/19
Solid Gold,PNAU,65,2/5/19
One Life,Mike Perry,64,27/9/19
All ‘Bout The Money,FAULHABER,51,18/10/19
Never Letting Go,Audien,63,9/11/18
Used To Love (with Dean Lewis),Martin Garrix,83,31/10/19
Giulia,Prince Paris,55,29/11/19
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,18/10/19
Dreams Of You (feat. Rae Morris),Icarus,48,4/10/19
I Will Let You Down (feat. KLARA),Madison Mars,59,6/12/19
Carillon (with Achille Lauro),Nahaze,64,11/12/19
La Vie - Gabry Ponte Mix,DJ Ross,42,15/11/19
Lullaby,R3HAB,70,26/1/18
Say It,Phantoms,57,19/7/19
All This Time,Deorro,21,12/7/19
All You Need To Know (feat. Calle Lehmann),Gryffin,68,24/10/19
Acordeão,Tiësto,63,8/8/19
My Friend,Yves V,54,31/5/19
On & On,Alok,79,22/11/19
Juliet & Romeo,Martin Solveig,72,6/12/19
All Around The World (La La La),R3HAB,80,5/4/19
Are You Lonely (feat. ISÁK),Steve Aoki,47,22/2/19
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,1/3/19
Close Your Eyes,Felix Jaehn,79,22/11/19
Buzzing (with Nevve),Audien,59,8/11/19
Never Be Alone (feat. Aloe Blacc),David Guetta,68,26/7/19
Roses - Imanbek Remix,SAINt JHN,72,13/9/19
Insane,Ofenbach,66,15/11/19
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,3/1/20
Only Want You - Sam Feldt Remix,Rita Ora,64,5/4/19
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,1/2/19
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,2/5/19
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,27/9/19
Not Ok - Frank Walker Remix,Kygo,66,5/7/19
Heaven (feat. Veronica),Dzeko,68,4/1/19
Sixteen - Don Diablo Remix,Ellie Goulding,66,10/5/19
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,10/5/19
Brave,Don Diablo,68,26/4/19
Let It Be Me,Steve Aoki,23,6/9/19
Carry On - Nicky Romero Remix,Kygo,67,30/5/19
Magnets (feat. Sophie Simmons),Sam Feldt,62,10/5/19
Don't Give Up On Me,Andy Grammer,9,12/4/19
Found Love (feat. Lovespeake),MOTi,59,15/2/19
These Are The Times (feat. JRM),Martin Garrix,71,18/7/19
Wherever You Go,Jonas Blue,21,9/11/18
Happy Now,Kygo,81,26/10/18
Roots,Valerie Broussard,69,16/8/19
Talk - Alle Farben Remix,Khalid,56,4/4/19
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,19/7/19
High Hopes - Don Diablo Remix,Panic! At The Disco,60,11/1/19
Summer Air (feat. Trevor Guthrie),Hardwell,40,31/5/19
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,28/6/19
Bruises - Steve Void Remix,Lewis Capaldi,70,27/9/19
Insomnia - King Arthur Remix,Daya,63,17/5/19
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,24/4/19
I Miss Myself - R3HAB Remix,NOTD,56,7/6/19
8 Letters - R3HAB Remix,Why Don't We,2,28/9/18
You Deserve Better - Andrelli Remix,James Arthur,53,29/6/18
Remember (with ZOHARA),Gryffin,11,26/10/18
REMEDY,Alesso,77,31/8/18
Leave,Borgeous,56,25/1/19
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,8/3/19
I'm Not Sorry,Hardwell,34,8/3/19
Tequila - Robin Schulz Remix,Dan + Shay,54,21/3/19
Happier - Frank Walker Remix,Marshmello,51,19/10/18
Sing It With Me - Embody Remix,JP Cooper,50,21/6/19
Thursday - Nicky Romero Remix,Jess Glynne,52,7/12/18
Better When You're Gone,David Guetta,76,8/2/19
Wish You Well,Sigala,75,24/5/19
Only When It Rains,Frank Walker,52,29/3/19
Mad Love - Blinkie Remix,Mabel,62,5/7/19
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,16/8/18
Better Day (feat. Aloe Blacc),Young Bombs,62,1/11/19
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,2/8/19
Discovery,Syn Cole,55,31/5/19
With You - Frank Walker Remix,Tyler Shaw,49,1/2/19
2 Hearts (feat. Gia Koka),Sam Feldt,70,10/1/20
Love You Forever,Nicky Romero,61,21/6/19
Post Malone (feat. RANI),Sam Feldt,75,16/8/19
Thorns,Faustix,60,29/3/19
Shotgun (The Wild Remix),George Ezra,63,15/6/18
True Colors (feat. Maya Avedis),XO Cupid,73,21/9/18
Crying In The Sun,Faustix,60,23/11/18
Need You,Faustix,62,26/7/19
Sweet Dreams (Are Made of This),Winati,67,21/6/19
Million Lights,Tungevaag & Raaban,61,22/3/19
Dancing in the Moonlight,Jubël,71,22/6/18
Heaven,Avicii,80,6/6/19
Forever Young,John De Sohn,68,27/7/18
eoh,Olympis,60,16/8/19
Nobody,Martin Jensen,66,1/3/19
All Day And Night,Jax Jones,75,12/7/19
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,1/11/18
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,22/6/18
All For Love,Tungevaag & Raaban,68,23/3/18
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,29/3/19
One Touch,Jess Glynne,70,12/10/18
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,30/8/19
Be Your Friend‬‬,Vigiland,67,2/3/18
Happier - Breathe Carolina Remix,Marshmello,62,19/10/18
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,2/5/19
Just Got Paid,Sigala,65,28/9/18
No One - Jonas Blue Remix,Jess Glynne,51,15/3/19
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,22/3/19
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,61,1/2/19
Darkside,Alan Walker,76,14/12/18
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,25/4/19
Body (feat. brando),Loud Luxury,63,27/10/17
Who's Got Your Love,Cheat Codes,70,15/3/19
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,7/6/19
Pumped Up,Klingande,56,8/9/17
California,Hot Shade,65,4/5/18
Solo Dance,Martin Jensen,61,4/11/16
Replay,Davai,60,25/8/17
Think About You - Galantis Remix,Kygo,63,12/4/19
Love No More,Loud Luxury,54,31/8/18
All Falls Down (feat. Juliander),Alan Walker,70,14/12/18
Lonely Together (feat. Rita Ora),Avicii,6,23/11/18
Remind Me to Forget,Kygo,70,3/11/17
Next To Me,Axel Johansson,54,20/4/18
Giant (with Rag'n'Bone Man),Calvin Harris,83,11/1/19
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,53,1/6/18
Hum With Me,John De Sohn,55,9/6/17
Without You (feat. Sandro Cavazza),Avicii,81,10/8/17
Call On Me - Ryan Riback Remix,Starley,58,7/10/16
Sad (feat. Afrojack),Chico Rose,75,30/8/19
Stargazing,Kygo,73,21/9/17
Symphony (feat. Zara Larsson),Clean Bandit,73,30/11/18
Stay Young,Mike Perry,57,1/9/17
More Than You Know,Axwell /\ Ingrosso,25,24/5/17
Why Boy,Steff da Campo,55,7/6/19
The Nights,Avicii,80,1/1/14
Rich Love (with Seeb),OneRepublic,69,14/7/17
Mama,Jonas Blue,74,9/11/18
Feel Good,Felix Jaehn,65,16/2/18
IDGAF - Hazers Remix,Dua Lipa,50,23/2/18
Breathe (feat. Ina Wroldsen),Jax Jones,66,12/7/19
Rockstar,Ilkay Sencan,71,21/6/19
Jackie Chan,Tiësto,79,18/5/18
Moonlight,Gaullin,76,7/9/18
All I Wanna Do,Martin Jensen,55,8/4/16
Sweet but Psycho,Ava Max,87,17/8/18
Melody - ANGEMI Remix,Lost Frequencies,35,15/6/18
High On Life (feat. Bonn),Martin Garrix,77,29/7/18
So Am I,Ava Max,83,7/3/19
I Know You - Vigiland Remix,Craig David,51,9/2/18
Through To You,Lyente,2,17/4/18
Burn Out (feat. Dewain Whitmore),Martin Garrix,68,14/9/18
Penny,Dimitri Vangelis & Wyman,50,29/3/19
Wait For Me,Steve Brian,42,12/10/18
bad guy,Billie Eilish,95,29/3/19
Daylight (Airbeat One Anthem 2018),Fluex,50,22/6/18
Imagine,Rob Tirea,21,13/4/18
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,63,30/11/18
Glitch,Martin Garrix,56,14/12/18
Brand New (Helium),Lvly,2,13/4/18
Shades Of Voices (Original Mix),PULLER,2,23/1/17
In Time,CAZZETTE,49,12/10/18
Halfway There (feat. Lena Leon),Tiësto,60,15/3/19
Spirit Of Freedom,Dropgun,45,25/1/19
Mama Look at Me Now,Galantis,56,13/7/18
Toxic Rain - No Class Remix,Alicia Madison,41,11/5/18
The Beat,Mike Williams,70,23/7/18
Wild Wild Son,Armin van Buuren,57,12/10/18
Waiting For Love,Avicii,16,2/10/15
Shelter (Mix Cut) - Yoel Lewis Remix,Dash Berlin,48,20/4/18
Like I Do,David Guetta,72,22/2/18
Skyline,Catiso,2,23/2/18
Callin' - Extended Mix,Lush & Simon,2,1/6/18
Roads,Vargas & Lagola,66,9/2/18
Jackie Chan,Tiësto,60,18/5/18
Came Here for Love,Sigala,68,9/6/17
Kids in Love - Don Diablo Remix,Kygo,50,11/5/18
Let You Down - Chris Royal Remix,Bombs Away,39,16/4/18
Mercury,Catiso,1,23/2/18
Different Place,STVCKS,4,2/3/18
One Last Time,Ariana Grande,16,22/8/14
I Feel The Love,Tritonal,58,9/9/16
No Brainer,DJ Khaled,77,27/7/18
Sun Is Shining,Axwell /\ Ingrosso,71,28/7/17
Breathe,Jax Jones,65,1/12/17
In the Name of Love,Martin Garrix,80,29/7/16
Pure Gold,oomiee,1,1/9/17
Turning Up,ARASHI,67,3/11/19
Winter Hitori feat. ASOBOiSM,Shinn Yamada,28,11/12/19
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,48,14/1/20
Nobody Knows,Hiroomi Tosaka,39,8/1/20
One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,60,21/11/19
別世界,E-girls,29,29/1/20
Gimme GImme,iamSHUM,21,11/12/19
御伽の街,DAOKO,40,15/1/20
ボイスメモ No. 5,CHANMINA,37,17/1/20
Now & Forever (feat. SONPUB & 向井太一),香取慎吾,38,1/1/20
Make A Move - Pt. 2,EMMA WAHLIN,17,17/1/20
光線,Ghost like girlfriend,30,15/1/20
ZONE OF GOLD,Ryuji Imaichi,31,15/1/20
LOVE + PARTY,CREAM,37,25/12/19
WAKE ME UP,THE RAMPAGE from EXILE TRIBE,35,15/1/20
New Page,INTERSECTION,49,8/1/20
Easy Breezy,chelmico,42,17/1/20
TOTSUKA feat. サイプレス上野,ASOBOiSM,23,17/1/20
taste,FlowBack,34,11/12/19
I don’t wanna do,SARM,27,12/1/20
A-RA-SHI:Reborn,ARASHI,60,20/12/19
Light,SIRUP,53,22/11/19
Night Ship,Yo-Sea,30,15/1/20
Fly me 2,eill,41,6/11/19
Not Enough,Rei Yasuda,29,27/11/19
COLORLESS,Daichi Miura,54,4/12/19
New Shoes - feat.Shun Murakami,phai,21,15/1/20
MarudeSaturday Night,BABY-T,21,2/12/19
FUTARI x PARTY,CREAM,40,27/11/19
SUPERSTAR,真之介,26,8/1/20
Be on the Stage,KEITA,26,18/12/19
space shuttle,空音,36,20/11/19
Amazing!,Sakurako Ohara,32,15/1/20
TO-KE-TE,HAN-KUN,34,16/12/19
JAM fo'freedom (SASUKE Remix),RUN THE FLOOR,21,15/1/20
You're the Reason - English ver.,INTERSECTION,36,25/12/19
Made In JPN,DEAN FUJIOKA,36,11/12/19
See You Later,Chocoholic,42,20/11/19
Possible,片寄涼太,49,7/1/20
All Over You,Boys Get Hurt,12,23/12/19
Where Would You Go?,SkyLogic,16,14/12/19
Call My Name - Remix,YUTO,27,26/10/19
DAYZ,AAAMYYY,44,13/11/19
Simple Things,HarukiD,21,12/1/20
SUN DAY - Shinichi Osawa Remix,HIRAIDAI,41,17/11/19
SPOTLIGHT,eill,44,6/11/19
let me know,blanchehor,39,9/11/19
Y.E.S,KEITA,21,20/11/19
Rich&Famous - feat. Sean Paul,Kumi Koda,35,13/11/19
ミズノナカヘ - Car TAX remix,yu-re:meu,16,11/1/20
EASY LOVE,Gear 2nd,27,30/10/19
PARADE,Miliyah,37,26/10/19
Obsession,広瀬大地,30,23/10/19
Shine,DJ PIGER,35,16/10/19
Upside Down,RYPPHYPE,26,20/11/19
B.S.G.S.,sooogood!,30,20/11/19
Bitten By You,Monkey Majik,40,23/10/19
For Me,WAPLAN,31,30/10/19
Sway,AATA,27,11/12/19
Nobody,Beverly,31,4/12/19
Adios,EVERGLOW,74,19/8/19
Dumb,BVNDIT,59,5/11/19
THURSDAY,GOT7,63,4/11/19
Snapping,CHUNG HA,73,24/6/19
WONDERLAND,ATEEZ,72,8/10/19
DDU-DU DDU-DU,BLACKPINK,68,15/6/18
Like always,X1,58,27/8/19
Answer,ATEEZ,72,6/1/20
피카부 Peek-A-Boo,Red Velvet,70,17/11/17
DRIP,HINAPIA,59,3/11/19
Jopping,SuperM,75,4/10/19
HIP,Mamamoo,81,14/11/19
BBoom BBoom,MOMOLAND,70,3/1/18
Dumb Litty,KARD,65,22/9/19
POP/STARS,K/DA,75,3/11/18
MIDDLE OF THE NIGHT,Monsta X,69,6/12/19
Boy With Luv (feat. Halsey),BTS,85,12/4/19
Bon Bon Chocolat,EVERGLOW,72,18/3/19
gogobebe,Mamamoo,72,14/3/19
IDOL,BTS,75,24/8/18
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,65,24/11/17
KILLING ME,iKON,63,2/8/18
As If It's Your Last,BLACKPINK,2,22/6/17
MIROH,Stray Kids,71,25/3/19
Forever Love,YOUNGJAE,48,22/10/19
BOSS,NCT,68,14/3/18
Forever Young,BLACKPINK,65,15/6/18
Egotistic,Mamamoo,70,16/7/18
Bomb Bomb,KARD,66,27/3/19
DNA,BTS,71,18/9/17
Roller Coaster,CHUNG HA,2,18/1/18
YES or YES,TWICE,7,5/11/18
FLASH,X1,69,27/8/19
HANN (Alone),(G)I-DLE,66,14/8/18
하드캐리 Hard Carry,GOT7,1,27/9/16
ME,CLC,64,30/5/19
BAAM,MOMOLAND,66,26/6/18
DDD,EXID,60,8/11/17
Starry Night,Mamamoo,67,7/3/18
Siren,SUNMI,0,26/9/18
HIT,SEVENTEEN,66,5/8/19
Heroine,SUNMI,62,18/1/18
Way Back Home,SHAUN,66,27/6/18
I’m So Hot,MOMOLAND,61,20/3/19
Me & You,EXID,61,15/5/19
No,CLC,61,30/1/19
PICK ME,PRODUCE 48,58,10/5/18
WANT,TAEMIN,63,11/2/19
Fever,GFRIEND,67,1/7/19
Room Shaker,Ailee,57,2/7/19
Power Up,Red Velvet,65,6/8/18
LALALAY 날라리,SUNMI,70,27/8/19
8282(Party),twlv,40,4/8/19
D.D.D,THE BOYZ,55,19/8/19
Not That Type,gugudan,54,6/11/18
Humph!,PENTAGON,63,17/7/19
Play It Cool,Monsta X,56,18/2/19
AH YEAH,WINNER,60,15/5/19
SHA LA LA,PENTAGON,56,27/3/19
SUNDAY,FANATICS,42,6/8/19
BEEP BEEP,RUANN,45,31/7/19
The Only (feat. IRENE of Red Velvet),Raiden,54,2/8/19
Break the Distance,ELYAZ,30,6/7/18
I Could Get Used To This,Becky Hill,64,29/3/19
Therapy,Armin van Buuren,52,20/4/18
Sunshine,David Guetta,54,7/12/12
Giant - Robin Schulz Remix,Calvin Harris,16,15/2/19
Somebody,The Chainsmokers,13,20/4/18
Like I Love You,Lost Frequencies,58,14/9/18
Walk Away,Alle Farben,61,29/3/19
I Need You,Armin van Buuren,24,27/1/17
Without You (feat. Sandro Cavazza),Avicii,27,10/8/17
Something Just Like This - Alesso Remix,The Chainsmokers,56,28/4/17
Don't You Worry Child - Radio Edit,Swedish House Mafia,77,14/9/12
Fine Day,Keanu Silva,2,27/7/18
BOOM,Tiësto,70,26/1/18
Whispers,ELYAZ,9,2/12/16
